,ID,identifiant_individu,time_strat,time_end,identifiant_capteur,LSM_csv_filename
0,0,72057594038355615,2020-05-02 16:50:30.1208,2020-05-02 16:50:58.7874,11,./LMS2020-05-02LMS/11112020-05-02_16h50_72057594038355615
1,1,72057594038356063,2020-05-02 17:15:26.7881,2020-05-02 17:15:31.3531,11,./LMS2020-05-02LMS/11112020-05-02_17h15_72057594038356063
2,2,72057594038356142,2020-05-02 17:15:36.4543,2020-05-02 17:15:38.3502,11,./LMS2020-05-02LMS/11112020-05-02_17h15_72057594038356142
3,3,72057594038356963,2020-05-02 19:18:37.1873,2020-05-02 19:18:45.6172,11,./LMS2020-05-02LMS/11112020-05-02_19h18_72057594038356963
4,4,72057594038358669,2020-05-02 20:22:24.6835,2020-05-02 20:22:26.1836,11,./LMS2020-05-02LMS/11112020-05-02_20h22_72057594038358669
5,5,72057594038358877,2020-05-02 20:56:37.7824,2020-05-02 20:59:42.9851,11,./LMS2020-05-02LMS/11112020-05-02_20h56_72057594038358877
6,6,72057594038359374,2020-05-02 20:59:43.1187,2020-05-02 20:59:43.1187,11,./LMS2020-05-02LMS/11112020-05-02_20h59_72057594038359374
7,7,72057594038358877,2020-05-02 20:59:43.1187,2020-05-02 20:59:43.1187,11,./LMS2020-05-02LMS/11112020-05-02_20h59_72057594038358877
8,8,72057594038359374,2020-05-02 20:59:43.2510,2020-05-02 20:59:43.2510,11,./LMS2020-05-02LMS/11112020-05-02_20h59_72057594038359374
9,9,72057594038358877,2020-05-02 20:59:43.2510,2020-05-02 20:59:43.2510,11,./LMS2020-05-02LMS/11112020-05-02_20h59_72057594038358877
10,10,72057594038359374,2020-05-02 20:59:43.3839,2020-05-02 20:59:43.3839,11,./LMS2020-05-02LMS/11112020-05-02_20h59_72057594038359374
11,11,72057594038358877,2020-05-02 20:59:43.3839,2020-05-02 20:59:43.3839,11,./LMS2020-05-02LMS/11112020-05-02_20h59_72057594038358877
12,12,72057594038359374,2020-05-02 20:59:43.5188,2020-05-02 20:59:43.5188,11,./LMS2020-05-02LMS/11112020-05-02_20h59_72057594038359374
13,13,72057594038358877,2020-05-02 20:59:43.5188,2020-05-02 20:59:43.5188,11,./LMS2020-05-02LMS/11112020-05-02_20h59_72057594038358877
14,14,72057594038359374,2020-05-02 20:59:43.6509,2020-05-02 21:00:07.2478,11,./LMS2020-05-02LMS/11112020-05-02_20h59_72057594038359374
15,15,72057594038359530,2020-05-02 21:00:38.8517,2020-05-02 21:09:26.1840,11,./LMS2020-05-02LMS/11112020-05-02_21h00_72057594038359530
16,16,72057594038359853,2020-05-02 21:09:26.3188,2020-05-02 21:09:26.3188,11,./LMS2020-05-02LMS/11112020-05-02_21h09_72057594038359853
17,17,72057594038359530,2020-05-02 21:09:26.3188,2020-05-02 21:09:26.3188,11,./LMS2020-05-02LMS/11112020-05-02_21h09_72057594038359530
18,18,72057594038359853,2020-05-02 21:09:26.4521,2020-05-02 21:09:26.4521,11,./LMS2020-05-02LMS/11112020-05-02_21h09_72057594038359853
19,19,72057594038359530,2020-05-02 21:09:26.4521,2020-05-02 21:09:26.4521,11,./LMS2020-05-02LMS/11112020-05-02_21h09_72057594038359530
20,20,72057594038359853,2020-05-02 21:09:26.5835,2020-05-02 21:09:26.5835,11,./LMS2020-05-02LMS/11112020-05-02_21h09_72057594038359853
21,21,72057594038359530,2020-05-02 21:09:26.5835,2020-05-02 21:09:26.5835,11,./LMS2020-05-02LMS/11112020-05-02_21h09_72057594038359530
22,22,72057594038359853,2020-05-02 21:09:26.7169,2020-05-02 21:09:26.7169,11,./LMS2020-05-02LMS/11112020-05-02_21h09_72057594038359853
23,23,72057594038359530,2020-05-02 21:09:26.7169,2020-05-02 21:09:26.7169,11,./LMS2020-05-02LMS/11112020-05-02_21h09_72057594038359530
24,24,72057594038359853,2020-05-02 21:09:26.8503,2020-05-02 21:09:26.8503,11,./LMS2020-05-02LMS/11112020-05-02_21h09_72057594038359853
25,25,72057594038359530,2020-05-02 21:09:26.8503,2020-05-02 21:09:26.8503,11,./LMS2020-05-02LMS/11112020-05-02_21h09_72057594038359530
